,Country,Area,Capital,Population,UN continental,UN statistical
79,Guyana,12.278249110667481,Georgetown,11.81005526674466,Americas,South America
80,Belarus,12.24336843027387,Minsk,14.347350427661226,Europe,Eastern Europe
81,Kyrgyzstan,12.20582761551277,Bishkek,13.645006893974244,Asia,Central Asia
82,Senegal,12.189546843572838,Dakar,13.845645893007966,Africa,Western Africa
83,Cambodia,12.106445661720109,Phnom Penh,14.514503120939738,Asia,South-Eastern Asia
84,Uruguay,12.079460119394303,Montevideo,14.130173111642799,Americas,South America
85,Suriname,12.006523543069592,Paramaribo,12.445668118752655,Americas,South America
86,Tunisia,12.005240825977122,Tunis,13.55106182249583,Africa,Northern Africa
87,Bangladesh,11.902057918457496,Dhaka,16.002235764863784,Asia,Southern Asia
88,Nepal,11.899418400858922,Kathmandu,13.81879017413913,Asia,Southern Asia
89,Tajikistan,11.871298965544542,Dushanbe,13.275077597445625,Asia,Central Asia
90,Greece,11.790481441123001,Athens,14.943846036656014,Europe,Southern Europe
91,Nicaragua,11.778154851821075,Managua,13.739582622990154,Americas,Central America
92,Malawi,11.682533209344108,Lilongwe,13.712799861765173,Africa,Eastern Africa
93,Eritrea,11.675044314446664,Asmara,14.045034511154766,Africa,Eastern Africa
94,Benin,11.65062441126634,Porto-Novo,12.317399328166504,Africa,Western Africa
95,Honduras,11.630637386986987,Tegucigalpa,13.508960940890208,Americas,Central America
96,Liberia,11.620604291268087,Monrovia,13.826420823971834,Africa,Western Africa
97,Bulgaria,11.616194795624041,Sofia,13.901958859790167,Europe,Eastern Europe
98,Cuba,11.607180542895733,Havana,14.574210432714402,Americas,Caribbean
99,Guatemala,11.598084293718179,Guatemala City,13.837272049745787,Americas,Central America
100,Iceland,11.542484267211773,Reykjav?k,11.652687407345388,Europe,Northern Europe
101,Hungary,11.440655802090147,Budapest,14.3630768991578,Europe,Eastern Europe
102,Portugal,11.430521638715412,Lisbon,13.243973746135099,Europe,Southern Europe
103,Jordan,11.400226981044614,Amman,14.771253899178634,Asia,Western Asia
104,Serbia,11.389185974808175,Belgrade,13.959254994454632,Europe,Southern Europe
105,Azerbaijan,11.369055094550527,Baku,14.605875189239578,Asia,Western Asia
106,Austria,11.337035183121875,Vienna,14.37493947129687,Europe,Western Europe
107,United Arab Emirates,11.333798799072794,Abu Dhabi,13.279532924434521,Asia,Western Asia
108,Czech Republic,11.275492808921575,Prague,14.031962973474375,Europe,Eastern Europe
109,Panama,11.230787992773799,Panama City,13.608605692606046,Americas,Central America
110,Sierra Leone,11.180803751086273,Freetown,13.883356104859342,Africa,Western Africa
111,Ireland,11.16014293574684,Dublin,13.860263057917784,Europe,Northern Europe
112,Georgia,11.151955596748616,Tbilisi,13.85952074479402,Asia,Western Asia
113,Sri Lanka,11.091483402338923,Sri Jayawardenepura Kotte,11.683140701769135,Asia,Southern Asia
114,Lithuania,11.086747315264523,Vilnius,13.229823088209486,Europe,Northern Europe
115,Latvia,11.075334813356704,Riga,13.477259139537358,Europe,Northern Europe
116,Togo,10.947027485325746,Lom?,13.622821039121382,Africa,Western Africa
117,Croatia,10.94365825150499,Zagreb,13.59760327344531,Europe,Southern Europe
118,Bosnia and Herzegovina,10.843670576829885,Sarajevo,12.85736604946573,Europe,Southern Europe
119,Costa Rica,10.841539776191796,San Jos?,12.70136322290904,Americas,Central America
120,Slovakia,10.800330394187467,Bratislava,12.957976822626733,Europe,Eastern Europe
121,Dominican Republic,10.792838649154332,Santo Domingo,13.921525059726562,Americas,Caribbean
122,Estonia,10.71944953261348,Tallinn,12.994998078149713,Europe,Northern Europe
123,Denmark,10.67113905526418,Copenhagen,13.239707205512085,Europe,Northern Europe
124,Switzerland,10.628230294685824,Berne (de facto),11.708747150234526,Europe,Western Europe
125,Bhutan,10.555656476367515,Thimphu,11.525436869907292,Asia,Southern Asia
126,Taiwan,10.496621008949695,Taipei,14.803755744837726,Asia,Eastern Asia
127,Guinea-Bissau,10.494740425414733,Bissau,13.022852386535394,Africa,Western Africa
128,Moldova,10.429576102968031,Chi?in?u,13.5858457896598,Europe,Eastern Europe
129,Belgium,10.326399574248013,Brussels,13.893202813179697,Europe,Western Europe
130,Lesotho,10.320716527564535,Maseru,12.497442908238966,Africa,Southern Africa
131,Armenia,10.300349089170124,Yerevan,13.892922423389786,Asia,Western Asia
132,Solomon Islands,10.271458456216711,Honiara,10.990162203631195,Oceania,Melanesia
133,Albania,10.266323478588333,Tirana,13.545843895772286,Europe,Southern Europe
134,Equatorial Guinea,10.24177956093926,Malabo,11.51967265142747,Africa,Middle Africa
135,Burundi,10.234013573979798,Bujumbura,12.859597632354292,Africa,Eastern Africa
136,Haiti,10.23099111917458,Port-au-Prince,14.026765316822038,Americas,Caribbean
137,Rwanda,10.178768042270166,Kigali,13.4848012835308,Africa,Eastern Africa
138,Djibouti,10.0519075576544,Djibouti (city),13.071768786235246,Africa,Eastern Africa
139,Belize,10.041770140336135,Belmopan,9.708141544619421,Americas,Central America
140,El Salvador,9.954228194239311,San Salvador,13.164207569302786,Americas,Central America
141,Israel,9.941264916870159,Jerusalem[51],13.567305576054693,Asia,Western Asia
142,Slovenia,9.917045230468194,Ljubljana,12.543044757193037,Europe,Southern Europe
143,Fiji,9.813125112455737,Suva,11.343441156977766,Oceania,Melanesia
144,Kuwait,9.78796446128059,Kuwait City,13.974119854798477,Asia,Western Asia
145,Swaziland,9.762154376419485,Mbabane,11.309511008837013,Africa,Southern Africa
146,Montenegro,9.533293058509884,Podgorica,11.86255363864097,Europe,Southern Europe
